"Subject Code","Course Number","Course Title","Course Description","Requirements","Credits - Academic Credit - Units","Credits - Academic Credit - Credit Hours Max","Credits - Academic Credit - Credit Hours Value","Credits - Academic Credit - Credit Hours Operator","Prerequisites"
"ACT","200","Accounting: The Language of Business","Accounting is called ""the language of business"" because its purpose is to measure, analyze, and report the economic effects of business transactions. In this course we will learn the rules and regulations of accounting so that you can be an informed reader of financial reports. Specifically, you will learn how to read and analyze Balance Sheets, Income Statements, and Statements of Cash Flows. We will prepare these statements as well as read real company reports. The framework learned in this course will allow you to better understand what a business does and how well it does what it does. You will become a sophisticated consumer of publicly disclosed accounting information and enhance your ability to communicate in the business world.","No","3","3","-","-","-"
"ACT","211","Managerial Accounting","Introduction to the concepts, assumptions, and methods underlying managerial accounting, with an emphasis on using accounting information to plan and control a company's operations. Topics include information relevant for decision-making, cost behavior, activity-based costing, pricing, cost-volume-profit analysis, operating budgets and variance analysis, capital budgeting, and performance evaluation.","No","3","3","-","-","-"
"ACT","300","Business Analysis & Valuation","Using financial statements to analyze and value businesses is a key skill needed for careers in fields like consulting, investment banking, public accounting, corporate finance, and venture capital and private equity. This course will teach you how to extract information from financial statements to gain insights into a company¿s current business performance and risk. You will also learn cutting-edge techniques to forecast future earnings and cash flows, estimate firm value, and challenge the market¿s assumptions driving the stock prices of well-known companies operating around the world.","No","3","3","-","-","-"
"ACT","301","Strategic Cost Management","This course covers the internal generation and interpretation of information for strategic and operational decision-making purposes, which is of paramount importance for decision-making in organizations. You will learn how to identify information that is relevant for decision-making, cost and revenue behavior, different costing techniques, profit planning, customer profitability analysis, and how to evaluate performance against plans. This course is especially useful if you are interested in consulting and will prepare you for your interviews with consulting companies.","No","3","3","-","-","-"
"ACT","304","Blockchains & Crypto Assets","This course will discuss the transformative world of blockchains and crypto assets and how they are reshaping aspects of accounting, finance, and global trade. We will cover the evolution of money, inflation, ledgers, and the impact of decentralized systems on the modern economy. We will cover foundational concepts such as decentralization, cryptography, consensus mechanisms, and block creation to show how crypto assets are tied to blockchains. We will discuss topics such as tokenomics, staking, and farming and potential opportunities and risks associated with blockchain and crypto assets.","No","3","3","-","-","-"
"ACT","311","Sustainability Measurement and Reporting","This course provides a critical analysis of current practices in business sustainability reporting and analysis. Topics covered include sustainability initiatives and challenges, reporting practices, reporting frameworks, reporting standards, regulatory requirements, NGOs, and rating agencies. The course also analyzes guidance for synthesizing information from corporate sustainability disclosures into traditional financial and valuation analyses. The class format combines lectures, interactive discussions, cases studies and project presentations.","No","3","3","-","-","-"
"ACT","312","Financial Reporting of Operations","This course examines the foundations of financial accounting and reporting. We will examine accounting issues from the point of view of the preparer of the financial  statements as well as from the perspective of the auditor and users of financial statements. We will review the accounting cycle and cover US and international financial reporting standards for the reporting   of cash, receivables, inventories, and long-lived tangible and intangible assets. We will take an analytical and critical approach to the preparation and use of financial reports, particularly to assessing the ¿quality of earnings¿ reported in the financial statements.","No","3","3","-","-","-"
"ACT","316","Accounting for Social Impact Organizations","Social impact organizations-including foundations, nonprofits, NGOs, B Corps, and governments-put mission before profit to tackle some of today's toughest challenges facing people and the planet. Making up about 15% of the global economy and workforce, these organizations disclose detailed financial data showing how mission, money, and accountability intersect. In this course, you'll learn how to interpret and analyze that data. We'll explore how tax rules shape mission-focused behavior, how mission-related transactions are reported under U.S. GAAP, how incentives and governance affect reporting quality, and how financial statement analysis informs decision-making across different stakeholder groups. We'll do all this using real financial reports and tax filings from organizations working in a variety of sectors and regions. By the end of the course, you'll have the financial skills needed to serve as an effective team leader, consultant, or board member.","No","3","3","-","-","-"
"ACT","325","Financial Reporting of Debt & Equity","This course builds on the foundational knowledge learned in ACT 200 and focuses on financing instruments, such as bonds, leases, and stocks. You will develop the skills and knowledge to read, understand, and evaluate the financial reporting of debt and equity on both the face of the financial statements and the detailed footnotes. We will also cover accounting for income taxes, stock compensation, treasury stock buybacks, derivatives. and earnings per share. This course will teach you about these transactions from the perspective of both the preparer and user of a company's financial statements, using real-world examples and cases.","No","3","3","-","-","-"
"ACT","330","Personal Financial Planning","In this course, you will develop an understanding of the assumptions, principles, procedures, and concepts underlying personal financial planning with an emphasis on developing personal and financial goals, understanding sources of income, budgeting cash flows, saving emergency funds in the short term and developing relevant objectives, managing risk through insurance, taking advantage of employer provided benefits, tackling major life transactions, filing and minimizing taxes, navigating wills, trusts, estates, advanced directives, and power of attorney, and developing a financial plan.","No","3","3","-","-","-"
